0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.08.166.419 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
0.08.166.427 I slot launch_slot_: id  3 | task 96 | processing task, is_child = 0
0.08.168.377 I slot      release: id  3 | task 96 | stop processing: n_tokens = 5, truncated = 0
0.08.169.859 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7867522
0.08.169.867 I slot launch_slot_: id  2 | task 98 | processing task, is_child = 0
0.08.172.257 I slot      release: id  2 | task 98 | stop processing: n_tokens = 12, truncated = 0
0.08.173.398 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7929916
0.08.173.404 I slot launch_slot_: id  1 | task 100 | processing task, is_child = 0
0.08.175.430 I slot      release: id  1 | task 100 | stop processing: n_tokens = 10, truncated = 0
0.08.197.385 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.100
0.08.197.395 I slot launch_slot_: id  1 | task 102 | processing task, is_child = 0
0.08.199.529 I slot      release: id  1 | task 102 | stop processing: n_tokens = 7, truncated = 0
0.08.213.369 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7993493
0.08.213.378 I slot launch_slot_: id  0 | task 104 | processing task, is_child = 0
0.08.215.575 I slot      release: id  0 | task 104 | stop processing: n_tokens = 10, truncated = 0
0.08.229.350 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8103391
0.08.229.358 I slot launch_slot_: id  3 | task 106 | processing task, is_child = 0
0.08.231.551 I slot      release: id  3 | task 106 | stop processing: n_tokens = 12, truncated = 0
0.08.245.315 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.167
0.08.245.321 I slot launch_slot_: id  3 | task 108 | processing task, is_child = 0
0.08.247.066 I slot      release: id  3 | task 108 | stop processing: n_tokens = 5, truncated = 0
0.08.261.536 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.200
0.08.261.545 I slot launch_slot_: id  3 | task 110 | processing task, is_child = 0
0.08.263.597 I slot      release: id  3 | task 110 | stop processing: n_tokens = 6, truncated = 0
