0.00.242.557 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.573 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.242.575 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.242.674 I srv          init: The UI is disabled
0.00.242.674 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.250.721 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.322.723 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.343.356 W srv    load_model: speculative decoding not supported by this context
0.00.343.362 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.346.563 I srv  llama_server: model loaded
0.00.346.570 I srv  llama_server: listening on http://127.0.0.1:8091
6.29.157.461 I slot launch_slot_: id  1 | task 136 | processing task, is_child = 0
6.29.159.576 I slot      release: id  1 | task 136 | stop processing: n_tokens = 13, truncated = 0
6.29.161.345 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.154
6.29.161.353 I slot launch_slot_: id  1 | task 138 | processing task, is_child = 0
6.29.163.828 I slot      release: id  1 | task 138 | stop processing: n_tokens = 16, truncated = 0
6.29.165.395 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.438 (> 0.100 thold), f_keep = 0.438
6.29.165.403 I slot launch_slot_: id  1 | task 140 | processing task, is_child = 0
6.29.168.056 I slot      release: id  1 | task 140 | stop processing: n_tokens = 16, truncated = 0
6.29.170.487 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.062
6.29.170.495 I slot launch_slot_: id  1 | task 142 | processing task, is_child = 0
6.29.172.097 I slot      release: id  1 | task 142 | stop processing: n_tokens = 7, truncated = 0
6.29.601.777 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.143
6.29.601.786 I slot launch_slot_: id  1 | task 144 | processing task, is_child = 0
6.29.603.970 I slot      release: id  1 | task 144 | stop processing: n_tokens = 6, truncated = 0
6.29.625.973 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
